departement,nb_beagle,nb_berger_allemand,nb_berger_australien,nb_berger_blanc_suisse,nb_berger_de_beauce,nb_bichon_a_poil_frise,nb_bichon_maltais,nb_border_collie,nb_bouledogue_francais,nb_bouvier_bernois,nb_boxer,nb_braque_allemand_a_poil_court,nb_bulldog,nb_caniche,nb_carlin,nb_cavalier_king_charles,nb_chien_de_berger_belge,nb_chien_de_cour_italien,nb_chihuahua,nb_cocker_spaniel_anglais,nb_coton_de_tulear,nb_english_springer_spaniel,nb_epagneul_breton,nb_fox_terrier_poil_dur,nb_golden_retriever,nb_griffon_a_poil_dur_korthals,nb_husky_de_siberie,nb_lhassa_apso,nb_pinscher_nain,nb_retriever_du_labrador,nb_rottweiler,nb_setter_anglais,nb_shih_tzu,nb_spitz_allemand,nb_staffordshire_bull_terrier,nb_staffordshire_terrier_americain,nb_teckel,nb_terrier_de_chasse_allemand,nb_terrier_jack_russell,nb_west_highland_white_terrier,nb_yorkshire_terrier
01,0.0251037387229299,0.0364685480707694,0.0307809822663556,0.00810297487561676,0.0185800697784843,0.00511984145007122,0.0106422510786763,0.0467598422758521,0.0276636594479655,0.0112822312599352,0.0135221618943413,0.00715332686471645,0.00635851276863684,0.00724622721360887,0.00415987117818287,0.0150911455645245,0.0270340015276946,0.00848489853217449,0.033278969425463,0.0141518198146122,0.00486178492537005,0.0100125931584054,0.0239992567972089,0.00591465554615083,0.0249695493300853,0.00609013398294762,0.0142653646854807,0.00671979190321848,0.00961002497987159,0.056225355601891,0.0055327318895931,0.0129544375399988,0.0178678337703091,0.00944486880406284,0.0159066041825802,0.0144718099052416,0.023803133838436,0.0053572534527963,0.043219306756952,0.0042321270050992,0.0396581267160759
02,0.0154428737671455,0.0321829870848357,0.0234075430664454,0.00550372956370782,0.0152616417711135,0.00442587611362292,0.0105591484003892,0.0241992407333219,0.0398519620748202,0.00888990633167363,0.015528720502108,0.00785974551212347,0.00619050344340793,0.00573265419027452,0.00512218851942998,0.0166447280566207,0.0383734905282436,0.00841298002632633,0.0609702588755985,0.0148705622007287,0.00508403441500219,0.0128007020355215,0.0289685037867949,0.00906159980159866,0.0230736946527023,0.00498864915393273,0.0168068830004388,0,0.0113794616455865,0.0538545183998169,0.00540834430263836,0.00465480074018963,0.020297983555581,0.00903298422327782,0.0125145462523131,0.0211946050096339,0.0140311719033175,0,0.0639844331253935,0.00495049504950495,0.0564585360270131
03,0.0368074849801715,0.0285673576975137,0.0172876445584289,0,0.0266319963904918,0.00663722067868253,0.00566360333404574,0.0461518368122343,0.0222507183396262,0.0143074256132602,0.0112797131390848,0.00413193702358054,0.00524803495523735,0.0114578138728598,0.00452375863788559,0.01266889886253,0.0250765833155233,0.00932060506755955,0.0309776542946024,0.0157915983947187,0.00636413288689416,0.0102229821186863,0.0241742062643965,0.0165277480943222,0.0213958348175061,0.00641162641590083,0.0151979292821353,0,0,0.0606848566882762,0.00524803495523735,0.00618603215311914,0.0164683811830638,0.010127995060673,0.00943933889007623,0.00723088979126594,0.0209921398209494,0.00831136757616775,0.032960509130631,0.00425067084609722,0.0419367861128921
04,0.0174824300327639,0.0247855338518871,0.0210589500537729,0,0.0254358102193432,0,0.00857864592451792,0.0631018182727659,0.0214841307555711,0.00655278493359678,0.0119550809093865,0,0,0.00507715779206163,0,0.00730310381912313,0.0301127979391241,0.00975414551184253,0.0375659655353525,0.00637771052697396,0,0,0.0293124577945627,0.00490208338543881,0.0141560163069304,0.0179326213640797,0.0158817497436411,0,0.00482705149688618,0.0392166670835105,0.00657779556311432,0.017807568216492,0.0142810694545182,0.00855363529500038,0.00675286996973714,0.00810344396368457,0.0172073131080709,0.00625265737938624,0.0451441862791687,0,0.0316634569692119
05,0.0210198789974071,0.0277960242005186,0.0367502160760588,0.00542783059636992,0.0270008643042351,0,0.00615384615384615,0.0977009507346586,0.0171823681936042,0.011028522039758,0.00933448573898012,0,0,0.00508210890233362,0,0.014209161624892,0.0223681936041487,0.00636127917026794,0.0205358686257563,0.00736387208297321,0,0,0.0219187554019015,0.00539325842696629,0.0159723422644771,0.00961106309420916,0.0221953327571305,0,0,0.0350561797752809,0,0.0127571305099395,0.00757130509939499,0.0067761452031115,0.00867761452031115,0.0109248055315471,0.0141400172860847,0.00591184096802074,0.0341227312013829,0,0.0246153846153846
06,0.015565233857224,0.0256693807990911,0.0236091649308843,0.00565044499147889,0.0149517136905889,0.00453701950388184,0.0218594963075175,0.0314182919901534,0.0423253171747775,0.00596099223631888,0.0116493088430222,0,0.00790001893580761,0.0118992615035031,0.00786214732058322,0.021768604430979,0.027661427759894,0.0101420185570915,0.098170800984662,0.013891308464306,0.00805907971975005,0,0.0138685854951714,0,0.0203294830524522,0.00852868774853248,0.00934671463737928,0.00609733005112668,0.0132020450672221,0.0414845673167961,0.00674872183298618,0.00647604620337057,0.0209657261882219,0.0220412800605946,0.0193220980874834,0.0136186328346904,0.0164590039765196,0,0.0592160575648552,0.00510509373224768,0.0575269835258474
07,0.030532123351446,0.0279750406492767,0.0271273121447531,0,0.0198868768848062,0,0.00751837903192184,0.0711397084369832,0.0200953347137874,0.00910265853217894,0.0143141042567089,0,0,0.00522534291312867,0,0.00921383604096891,0.0308934502550134,0.00953347137874008,0.0282529844212516,0.00749058465472435,0.00505857664994372,0.00462776380338258,0.0212488013674834,0.0102839195630724,0.0181219339327654,0.0115207693483608,0.0133690954319941,0.00573953889128229,0,0.0437900412746501,0,0.00982531233931376,0.0127854135108468,0.00561446419389358,0.0102422279972762,0.00875522881721028,0.025487443890101,0.00942229386995011,0.0346873827424712,0,0.0321164028517031
08,0.0383196944899073,0.0312056737588653,0.0185270049099836,0.0051936715766503,0.0170430987452264,0.00458265139116203,0.012329514457174,0.0414839061647572,0.0336715766503001,0.0112384069830878,0.0155373704309875,0.00530278232405892,0.00595744680851064,0.00613202400436443,0.0052809601745772,0.019290780141844,0.0274086197490453,0.0066557555919258,0.0564975450081833,0.0107364975450082,0,0.00626295690125477,0.0200981996726678,0.0110420076377523,0.0213857064920895,0.00800872885979269,0.0155591925804692,0,0.0117621385706492,0.0496672122204037,0.0051063829787234,0,0.0193344244408074,0.0149263502454992,0.00621931260229133,0.0177195853791598,0.0166066557555919,0.0143371522094926,0.0546208401527551,0,0.047114020731042
09,0.0157241111138115,0.0299657326172017,0.0184460592509782,0.00454468126473376,0.0272923906967701,0,0.00955112158845116,0.0895812574428269,0.029674095316791,0.00721802318516538,0.0146790774540064,0,0,0.00819014751986779,0,0.00860330036211632,0.0307920383016988,0.00515225897392276,0.0273653000218728,0.00695068899312222,0,0,0.0204389141371181,0.0118356137750018,0.0155053831385034,0.00850608792864608,0.0120300386419423,0,0.0106933676817265,0.0328334994045738,0,0.0220186161810096,0.0147033805623739,0.00636741439230078,0.00770408535251659,0.0094053029382458,0.0104503365980509,0.0102073055143753,0.0315211315527256,0,0.0402945536734148
10,0.0253021697975826,0.0404652686762779,0.0225899228192806,0.00597058395223533,0.0158366098733071,0,0.00389544196883646,0.0202417358380661,0.0269222367846221,0.00870103393039173,0.0119047619047619,0.00717198194262415,0.00717198194262415,0.00884665792922674,0,0.0153815348769477,0.0285787097713703,0.0107033639143731,0.0460717926314257,0.0159822338721421,0.014089121887287,0.0124508519003932,0.0282146497742828,0.0103211009174312,0.0202781418377749,0.00678971894568225,0.0124144459006844,0,0.00456895296344838,0.0519695645842435,0.006826124945391,0.00578855395369157,0.0143257608853939,0.013506625891947,0.0114132809086938,0.0172382408620941,0.0175658948594728,0.0133245958934032,0.0583406145332751,0,0.0460535896315713
