race,annee,nb,nb_tot
BERGER ALLEMAND,1970,9020,287941
BERGER ALLEMAND,1975,11431,287941
BERGER ALLEMAND,1980,16514,287941
BERGER ALLEMAND,1985,14651,287941
BERGER ALLEMAND,1990,15741,287941
BERGER ALLEMAND,1995,14309,287941
BERGER ALLEMAND,2000,11835,287941
BERGER ALLEMAND,2005,10971,287941
BERGER ALLEMAND,2006,11025,287941
BERGER ALLEMAND,2007,11203,287941
BERGER ALLEMAND,2008,11408,287941
BERGER ALLEMAND,2009,11321,287941
BERGER ALLEMAND,2010,11265,287941
BERGER ALLEMAND,2011,11374,287941
BERGER ALLEMAND,2012,11205,287941
BERGER ALLEMAND,2013,11373,287941
BERGER ALLEMAND,2014,11192,287941
BERGER ALLEMAND,2015,10751,287941
BERGER ALLEMAND,2016,10964,287941
BERGER ALLEMAND,2017,11049,287941
BERGER ALLEMAND,2018,10262,287941
BERGER ALLEMAND,2019,9996,287941
BERGER ALLEMAND,2020,9785,287941
BERGER ALLEMAND,2021,10486,287941
BERGER ALLEMAND,2022,8810,287941
CHIEN DE BERGER BELGE,1970,1270,194875
CHIEN DE BERGER BELGE,1975,2005,194875
CHIEN DE BERGER BELGE,1980,3101,194875
CHIEN DE BERGER BELGE,1985,3529,194875
CHIEN DE BERGER BELGE,1990,5087,194875
CHIEN DE BERGER BELGE,1995,4775,194875
CHIEN DE BERGER BELGE,2000,5042,194875
CHIEN DE BERGER BELGE,2005,5572,194875
CHIEN DE BERGER BELGE,2006,5946,194875
CHIEN DE BERGER BELGE,2007,6126,194875
CHIEN DE BERGER BELGE,2008,6726,194875
CHIEN DE BERGER BELGE,2009,6960,194875
CHIEN DE BERGER BELGE,2010,7857,194875
CHIEN DE BERGER BELGE,2011,8289,194875
CHIEN DE BERGER BELGE,2012,8415,194875
CHIEN DE BERGER BELGE,2013,9616,194875
CHIEN DE BERGER BELGE,2014,10309,194875
CHIEN DE BERGER BELGE,2015,9852,194875
CHIEN DE BERGER BELGE,2016,11267,194875
CHIEN DE BERGER BELGE,2017,12307,194875
CHIEN DE BERGER BELGE,2018,11729,194875
CHIEN DE BERGER BELGE,2019,11763,194875
CHIEN DE BERGER BELGE,2020,12144,194875
CHIEN DE BERGER BELGE,2021,13542,194875
CHIEN DE BERGER BELGE,2022,11646,194875
GOLDEN RETRIEVER,1970,19,184882
GOLDEN RETRIEVER,1975,69,184882
GOLDEN RETRIEVER,1980,137,184882
GOLDEN RETRIEVER,1985,280,184882
GOLDEN RETRIEVER,1990,720,184882
