race,annee,nb,nb_tot
Berger allemand,1970,9020,295403
Berger allemand,1975,11431,295403
Berger allemand,1980,16514,295403
Berger allemand,1985,14651,295403
Berger allemand,1990,15741,295403
Berger allemand,1995,14309,295403
Berger allemand,2000,11835,295403
Berger allemand,2005,10971,295403
Berger allemand,2006,11025,295403
Berger allemand,2007,11203,295403
Berger allemand,2008,11408,295403
Berger allemand,2009,11321,295403
Berger allemand,2010,11265,295403
Berger allemand,2011,11374,295403
Berger allemand,2012,11205,295403
Berger allemand,2013,11373,295403
Berger allemand,2014,11192,295403
Berger allemand,2015,10751,295403
Berger allemand,2016,10964,295403
Berger allemand,2017,11049,295403
Berger allemand,2018,10262,295403
Berger allemand,2019,9996,295403
Berger allemand,2020,9785,295403
Berger allemand,2021,10486,295403
Berger allemand,2022,8810,295403
Berger allemand,2023,7462,295403
Chien de berger belge,1970,1270,204624
Chien de berger belge,1975,2005,204624
Chien de berger belge,1980,3101,204624
Chien de berger belge,1985,3529,204624
Chien de berger belge,1990,5087,204624
Chien de berger belge,1995,4775,204624
Chien de berger belge,2000,5042,204624
Chien de berger belge,2005,5572,204624
Chien de berger belge,2006,5946,204624
Chien de berger belge,2007,6126,204624
Chien de berger belge,2008,6726,204624
Chien de berger belge,2009,6960,204624
Chien de berger belge,2010,7857,204624
Chien de berger belge,2011,8289,204624
Chien de berger belge,2012,8415,204624
Chien de berger belge,2013,9616,204624
Chien de berger belge,2014,10309,204624
Chien de berger belge,2015,9852,204624
Chien de berger belge,2016,11267,204624
Chien de berger belge,2017,12307,204624
Chien de berger belge,2018,11729,204624
Chien de berger belge,2019,11763,204624
Chien de berger belge,2020,12144,204624
Chien de berger belge,2021,13542,204624
Chien de berger belge,2022,11646,204624
Chien de berger belge,2023,9749,204624
Golden retriever,1970,19,200158
Golden retriever,1975,69,200158
Golden retriever,1980,137,200158
Golden retriever,1985,280,200158
Golden retriever,1990,720,200158
Golden retriever,1995,2288,200158
Golden retriever,2000,5413,200158
Golden retriever,2005,7842,200158
Golden retriever,2006,7408,200158
Golden retriever,2007,8483,200158
Golden retriever,2008,8491,200158
Golden retriever,2009,7787,200158
Golden retriever,2010,8388,200158
Golden retriever,2011,8480,200158
Golden retriever,2012,8877,200158
Golden retriever,2013,9069,200158
Golden retriever,2014,8826,200158
Golden retriever,2015,9231,200158
Golden retriever,2016,9808,200158
Golden retriever,2017,10319,200158
Golden retriever,2018,10563,200158
Golden retriever,2019,10932,200158
Golden retriever,2020,12060,200158
Golden retriever,2021,14444,200158
Golden retriever,2022,14948,200158
Golden retriever,2023,15276,200158
Berger australien,1970,0,181328
Berger australien,1975,0,181328
Berger australien,1980,0,181328
Berger australien,1985,0,181328
Berger australien,1990,0,181328
Berger australien,1995,0,181328
Berger australien,2000,386,181328
Berger australien,2005,1674,181328
Berger australien,2006,2177,181328
Berger australien,2007,2601,181328
Berger australien,2008,3325,181328
Berger australien,2009,3809,181328
Berger australien,2010,4913,181328
Berger australien,2011,5805,181328
Berger australien,2012,7047,181328
Berger australien,2013,7712,181328
Berger australien,2014,8354,181328
Berger australien,2015,9042,181328
Berger australien,2016,10165,181328
Berger australien,2017,11817,181328
Berger australien,2018,12906,181328
Berger australien,2019,14737,181328
Berger australien,2020,16782,181328
Berger australien,2021,20449,181328
Berger australien,2022,20018,181328
Berger australien,2023,17609,181328
Retriever du labrador,1970,353,169455
Retriever du labrador,1975,708,169455
Retriever du labrador,1980,1716,169455
Retriever du labrador,1985,2527,169455
Retriever du labrador,1990,6011,169455
Retriever du labrador,1995,8120,169455
Retriever du labrador,2000,9359,169455
Retriever du labrador,2005,7274,169455
Retriever du labrador,2006,6941,169455
Retriever du labrador,2007,6569,169455
Retriever du labrador,2008,7120,169455
Retriever du labrador,2009,6433,169455
Retriever du labrador,2010,7127,169455
Retriever du labrador,2011,6958,169455
Retriever du labrador,2012,6720,169455
Retriever du labrador,2013,7195,169455
Retriever du labrador,2014,7277,169455
Retriever du labrador,2015,7352,169455
Retriever du labrador,2016,7470,169455
Retriever du labrador,2017,7563,169455
Retriever du labrador,2018,8055,169455
Retriever du labrador,2019,8000,169455
Retriever du labrador,2020,7813,169455
Retriever du labrador,2021,9086,169455
Retriever du labrador,2022,8407,169455
Retriever du labrador,2023,7301,169455
Cavalier king charles,1970,4,142042
Cavalier king charles,1975,29,142042
Cavalier king charles,1980,121,142042
Cavalier king charles,1985,389,142042
Cavalier king charles,1990,1348,142042
Cavalier king charles,1995,2660,142042
Cavalier king charles,2000,3901,142042
Cavalier king charles,2005,6281,142042
Cavalier king charles,2006,6319,142042
Cavalier king charles,2007,6655,142042
Cavalier king charles,2008,7508,142042
Cavalier king charles,2009,7192,142042
Cavalier king charles,2010,8067,142042
Cavalier king charles,2011,7825,142042
Cavalier king charles,2012,7680,142042
Cavalier king charles,2013,7547,142042
Cavalier king charles,2014,7070,142042
Cavalier king charles,2015,6698,142042
Cavalier king charles,2016,6989,142042
Cavalier king charles,2017,6257,142042
Cavalier king charles,2018,6377,142042
Cavalier king charles,2019,6287,142042
Cavalier king charles,2020,6827,142042
Cavalier king charles,2021,7644,142042
Cavalier king charles,2022,7460,142042
Cavalier king charles,2023,6907,142042
Staffordshire terrier americain,1970,0,138925
Staffordshire terrier americain,1975,0,138925
Staffordshire terrier americain,1980,0,138925
Staffordshire terrier americain,1985,0,138925
Staffordshire terrier americain,1990,49,138925
Staffordshire terrier americain,1995,348,138925
Staffordshire terrier americain,2000,2723,138925
Staffordshire terrier americain,2005,5666,138925
Staffordshire terrier americain,2006,5931,138925
Staffordshire terrier americain,2007,6159,138925
Staffordshire terrier americain,2008,5222,138925
Staffordshire terrier americain,2009,5048,138925
Staffordshire terrier americain,2010,5501,138925
Staffordshire terrier americain,2011,5683,138925
Staffordshire terrier americain,2012,6533,138925
Staffordshire terrier americain,2013,7382,138925
Staffordshire terrier americain,2014,8575,138925
Staffordshire terrier americain,2015,9163,138925
Staffordshire terrier americain,2016,9718,138925
Staffordshire terrier americain,2017,10014,138925
Staffordshire terrier americain,2018,9753,138925
Staffordshire terrier americain,2019,8402,138925
Staffordshire terrier americain,2020,8206,138925
Staffordshire terrier americain,2021,8167,138925
Staffordshire terrier americain,2022,6356,138925
Staffordshire terrier americain,2023,4326,138925
Setter anglais,1970,1947,137678
Setter anglais,1975,3483,137678
Setter anglais,1980,3377,137678
Setter anglais,1985,3894,137678
Setter anglais,1990,4564,137678
Setter anglais,1995,4698,137678
Setter anglais,2000,5137,137678
Setter anglais,2005,5746,137678
Setter anglais,2006,5186,137678
Setter anglais,2007,5591,137678
Setter anglais,2008,6029,137678
Setter anglais,2009,6268,137678
Setter anglais,2010,6095,137678
Setter anglais,2011,6135,137678
Setter anglais,2012,5888,137678
Setter anglais,2013,5920,137678
Setter anglais,2014,5687,137678
Setter anglais,2015,5390,137678
Setter anglais,2016,5591,137678
Setter anglais,2017,5586,137678
Setter anglais,2018,5598,137678
Setter anglais,2019,5334,137678
Setter anglais,2020,6046,137678
Setter anglais,2021,6927,137678
Setter anglais,2022,6267,137678
Setter anglais,2023,5294,137678
Cocker spaniel anglais,1970,7466,135268
Cocker spaniel anglais,1975,7354,135268
Cocker spaniel anglais,1980,4877,135268
Cocker spaniel anglais,1985,2496,135268
Cocker spaniel anglais,1990,2596,135268
Cocker spaniel anglais,1995,2808,135268
Cocker spaniel anglais,2000,3892,135268
Cocker spaniel anglais,2005,4964,135268
Cocker spaniel anglais,2006,4831,135268
Cocker spaniel anglais,2007,4910,135268
Cocker spaniel anglais,2008,5052,135268
Cocker spaniel anglais,2009,5203,135268
Cocker spaniel anglais,2010,5214,135268
Cocker spaniel anglais,2011,5035,135268
Cocker spaniel anglais,2012,5104,135268
Cocker spaniel anglais,2013,5264,135268
Cocker spaniel anglais,2014,5100,135268
Cocker spaniel anglais,2015,5085,135268
Cocker spaniel anglais,2016,5114,135268
Cocker spaniel anglais,2017,5377,135268
Cocker spaniel anglais,2018,5447,135268
Cocker spaniel anglais,2019,5784,135268
Cocker spaniel anglais,2020,6036,135268
Cocker spaniel anglais,2021,6604,135268
Cocker spaniel anglais,2022,6798,135268
Cocker spaniel anglais,2023,6857,135268
Epagneul breton,1970,4419,131021
Epagneul breton,1975,4677,131021
Epagneul breton,1980,4942,131021
Epagneul breton,1985,4847,131021
Epagneul breton,1990,5549,131021
Epagneul breton,1995,5168,131021
Epagneul breton,2000,5290,131021
Epagneul breton,2005,5494,131021
Epagneul breton,2006,5474,131021
Epagneul breton,2007,5571,131021
Epagneul breton,2008,5583,131021
Epagneul breton,2009,5382,131021
Epagneul breton,2010,5361,131021
Epagneul breton,2011,5092,131021
Epagneul breton,2012,4943,131021
Epagneul breton,2013,4965,131021
Epagneul breton,2014,4684,131021
Epagneul breton,2015,4804,131021
Epagneul breton,2016,4553,131021
Epagneul breton,2017,4539,131021
Epagneul breton,2018,4506,131021
Epagneul breton,2019,4562,131021
Epagneul breton,2020,5198,131021
Epagneul breton,2021,5837,131021
Epagneul breton,2022,5193,131021
Epagneul breton,2023,4388,131021
Staffordshire bull terrier,1970,0,126295
Staffordshire bull terrier,1975,0,126295
Staffordshire bull terrier,1980,4,126295
Staffordshire bull terrier,1985,0,126295
Staffordshire bull terrier,1990,24,126295
Staffordshire bull terrier,1995,59,126295
Staffordshire bull terrier,2000,146,126295
Staffordshire bull terrier,2005,663,126295
Staffordshire bull terrier,2006,769,126295
Staffordshire bull terrier,2007,1145,126295
